기관분류,기관명,접근성,링크,재생목록,채널,설명,가입일,최근 업로드,기준,업로드 기간,동영상 개수,평균 조회수,조회수,구독자
미술관,국립현대미술관,2,1,16,0,1,2013-05-14,2021-07-10,2021-07-14,4,883,11900,6538000,19700
미술관,서울시립미술관,2,1,12,2,1,2012-07-02,2021-06-30,2021-07-14,14,390,383,252700,3500
미술관,부산시립미술관,2,1,9,0,1,2015-07-24,2021-07-09,2021-07-14,5,168,167,76600,비공개
미술관,부산현대미술관,2,0,6,1,1,2018-07-19,2021-05-07,2021-07-14,68,97,453,33300,457
미술관,대구문화예술회관 미술관,2,0,0,0,1,2020-07-14,2021-05-14,2021-07-14,61,26,44,1168,13
미술관,대구미술관,2,1,12,0,1,2017-05-25,2021-07-12,2021-07-14,2,279,453,196900,1680
미술관,인천광역시 송암미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,광주시립미술관,2,1,9,0,1,2019-03-27,2021-07-13,2021-07-14,1,108,330,36600,396
미술관,대전시립미술관,1,0,11,0,1,2020-03-30,2021-07-08,2021-07-14,6,145,78,23000,308
미술관,경기도미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,수원시립미술관,2,1,7,0,1,2015-09-22,2021-07-01,2021-07-14,13,239,66,71100,비공개
미술관,양주시립장욱진미술관,1,1,3,0,1,2020-03-26,2021-07-01,2021-07-14,13,21,581,10100,133
미술관,오산시립미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,이천시립월전미술관,2,1,4,0,0,2020-04-20,2021-07-12,2021-07-14,2,29,260,7540,96
미술관,강릉시립미술관,1,0,0,0,1,2020-10-20,2020-10-22,2021-07-14,265,4,107,431,7
미술관,청주시립미술관,2,1,3,1,1,2020-04-14,2021-07-02,2021-07-14,12,28,882,24700,108
미술관,청주시립미술관 분관(대청호미술관),2,0,0,0,1,2018-04-20,2021-06-03,2021-07-14,41,38,0,1740,37
미술관,천안시립미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,남원시립김병종미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,전북도립미술관,1,0,3,1,1,2020-04-01,2021-07-09,2021-07-14,5,48,199,9668,164
미술관,정읍시립미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,김천시립미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,포항시립미술관,2,1,5,0,1,2019-08-23,2021-05-31,2021-07-14,44,27,187,4966,139
미술관,경남도립미술관,2,1,7,0,1,2020-04-16,2021-05-05,2021-07-14,70,76,105,18000,183
미술관,진주시립이성자미술관,2,1,0,0,1,2020-09-02,2021-07-14,2021-07-14,0,20,252,5041,136
미술관,창원시립마산문신미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
미술관,"서귀포시 공립미술관(이중섭미술관, 기당미술관, 소암전시관)",1,1,0,0,1,2020-11-19,2021-06-25,2021-07-14,19,22,0,2988,30
미술관,제주도립미술관,1,1,0,0,0,2019-02-08,2021-04-23,2021-07-14,82,18,40,725,18
미술관,겸재정선미술관,2,0,1,2,1,2020-05-13,2021-06-30,2021-07-16,16,35,491,19600,319
미술관,제주현대미술관,0,-,-,-,-,-,-,-,-,-,-,-,-
박물관,국립해양박물관,2,1,10,0,0,2015-05-21,2021-07-14,2021-07-16,2,112,100,51900,비공개
박물관,국립일제강제동원역사관,1,0,0,0,0,2017-06-22,2021-03-24,2021-07-16,114,6,443,2661,43
박물관,국립중앙박물관,2,1,12,0,1,2013-01-15,2021-07-14,2021-07-14,0,746,4374,1937500,비공개
박물관,국립김해박물관,2,1,20,0,1,2016-01-04,2021-07-12,2021-07-14,2,178,170,81200,1890
박물관,국립경주박물관,2,1,16,0,1,2017-10-12,2021-07-12,2021-07-14,2,141,1968,222100,2010
박물관,국립한글박물관,2,1,5,2,1,2014-09-12,2021-07-13,2021-07-14,1,153,1184,811400,7440
박물관,국립고궁박물관,2,1,27,1,1,2015-03-09,2021-06-17,2021-07-14,27,216,759,1790200,9650
박물관,국립부여박물관,2,1,20,0,1,2014-07-18,2021-07-06,2021-07-14,8,231,1112,360700,비공개
박물관,국립공주박물관,1,1,2,0,0,2018-12-04,2021-07-14,2021-07-14,0,95,432,33400,349
박물관,국립춘천박물관,1,1,3,0,0,2019-05-02,2021-06-11,2021-07-14,33,33,14200,428200,406
박물관,국립항공박물관,2,1,9,1,1,2020-03-25,2021-07-05,2021-07-14,9,75,801,46000,683
박물관,국립청주박물관,2,1,9,1,1,2016-05-23,2021-06-29,2021-07-14,15,64,366,52100,1130
박물관,국립제주박물관,2,1,8,0,0,2014-08-07,2021-07-09,2021-07-14,5,171,38,46300,430
박물관,국립대구박물관,2,1,9,0,0,2019-12-12,2021-06-29,2021-07-14,15,75,539,37100,716
박물관,국립민속박물관,2,1,11,1,1,2013-06-23,2021-07-13,2021-07-14,1,258,260,315600,2070
박물관,국립광주박물관,2,1,9,1,0,2016-01-27,2021-07-01,2021-07-14,13,100,333,44900,비공개
박물관,국립전주박물관,2,0,5,1,0,2018-07-16,2021-07-13,2021-07-14,1,138,383,35700,330
박물관,국립익산박물관,1,1,0,0,0,2016-05-02,2021-06-11,2021-07-14,33,17,516,8856,106
박물관,국립진주박물관,2,0,6,0,0,2015-01-06,2021-07-02,2021-07-14,12,57,33200,1605600,9380
박물관,국립국악원박물관,0,-,-,-,-,-,-,-,-,-,-,-,-
박물관,서울상상나라,2,1,11,0,1,2014-02-21,2021-07-10,2021-07-14,4,298,106,97800,비공개
