Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,49,4,1.6,1,0,0,1,0,0,0
19,34,3,1.5,1,0,0,1,0,0,0
15,11,1,1.0,1,0,0,0,0,0,0
9,100,1,2.7,2,0,0,0,0,0,0
8,45,4,1.0,2,0,0,0,0,0,1
13,29,4,0.4,2,155,0,0,0,1,0
27,72,2,1.5,2,0,0,0,0,1,0
24,22,1,0.3,3,0,0,0,0,0,1
10,81,3,0.6,2,104,0,0,0,1,0
9,180,1,8.9,3,0,1,0,0,0,0
39,105,4,2.4,3,0,0,0,0,0,0
5,45,3,0.1,2,0,0,0,0,1,0
23,114,2,3.8,3,0,0,1,0,0,0
32,40,4,2.5,2,0,0,0,0,1,0
41,112,1,2.0,1,0,0,1,0,0,0
30,22,1,1.5,3,0,0,0,0,1,1
14,130,4,4.7,3,134,1,0,0,0,0
18,81,4,2.4,1,0,0,0,0,0,0
21,193,2,8.1,3,0,1,0,0,0,0
28,21,1,0.5,2,0,0,1,0,0,1
31,25,4,0.9,2,111,0,0,0,1,0
27,63,3,2.0,3,0,0,0,0,1,0
5,62,1,1.2,1,260,0,0,0,1,0
18,43,2,0.7,1,163,0,1,0,0,0
11,152,2,3.9,1,159,0,0,0,0,1
19,29,3,0.5,1,97,0,0,0,1,0
16,83,4,0.2,3,0,0,0,0,0,0
20,158,1,2.4,1,0,0,0,0,1,1
30,48,1,2.2,3,0,0,0,0,1,1
13,119,1,3.3,2,0,1,0,1,1,1
35,35,1,1.2,3,122,0,0,0,1,0
16,29,1,2.0,2,0,0,0,0,1,0
28,41,2,0.6,3,193,0,0,0,0,0
6,18,3,0.9,3,0,0,0,0,0,0
5,50,4,1.8,3,0,0,0,0,1,0
24,81,3,0.7,1,0,0,0,0,0,0
35,121,1,2.9,1,0,0,0,0,0,1
25,71,1,1.4,3,198,0,0,0,0,0
18,141,3,5.0,3,0,1,1,1,1,0
13,80,4,0.7,3,285,0,0,0,1,0
32,84,3,1.6,3,0,0,1,0,0,0
9,60,3,2.3,1,0,0,0,0,0,0
7,132,4,1.1,2,412,1,0,0,1,0
15,45,1,0.7,1,0,0,0,0,1,0
20,104,1,5.7,1,0,0,0,0,1,1
31,52,4,2.5,1,0,0,0,0,0,1
14,43,3,0.7,2,153,0,0,0,1,0
12,194,4,0.2,3,211,1,1,1,1,1
26,81,2,4.5,3,0,0,0,0,0,1
16,49,1,1.8,1,0,0,0,0,0,1
8,8,4,0.7,2,0,0,1,0,1,0
37,131,1,2.9,1,0,0,0,0,1,0
6,72,1,0.1,1,207,0,0,0,0,0
26,190,3,2.1,3,240,1,0,0,1,0
5,44,1,0.2,3,0,0,0,0,1,0
17,139,2,8.0,1,0,0,0,0,1,0
30,29,3,0.1,2,0,0,1,1,1,0
31,131,2,1.2,3,0,1,0,0,0,0
2,93,2,0.2,1,0,0,0,0,0,0
5,188,2,4.5,1,455,0,0,0,0,0
24,39,3,1.7,2,0,0,1,0,1,0
21,125,1,5.7,1,112,0,1,0,0,0
18,22,1,1.0,1,0,0,0,0,0,0
17,32,4,0.0,2,0,0,0,0,1,0
23,105,2,3.3,1,0,0,0,0,0,0
35,131,1,3.8,1,0,0,0,0,1,1
36,105,2,2.8,1,336,0,0,0,0,0
23,45,4,2.0,3,132,0,1,0,0,0
21,60,3,2.1,1,0,0,0,0,1,1
29,20,4,0.2,1,0,0,0,0,1,0
18,115,1,3.5,1,0,0,0,0,0,1
29,69,4,1.0,2,0,0,0,0,1,0
20,130,1,5.0,1,0,0,0,0,0,1
16,85,1,4.0,3,0,0,0,0,1,1
3,135,2,3.3,1,0,0,0,0,0,1
7,135,4,3.8,2,0,1,0,1,1,1
32,12,3,0.3,3,0,0,0,0,0,0
20,29,3,0.5,2,0,0,0,0,0,0
30,133,2,2.6,3,0,1,0,0,0,0
26,19,2,0.4,1,118,0,0,0,1,0
36,41,4,1.3,1,174,0,0,0,1,1
22,40,3,2.7,2,0,0,0,0,1,0
16,82,1,4.0,3,0,0,0,0,1,0
9,50,1,2.4,2,0,0,0,0,0,0
22,18,1,0.9,3,0,0,0,0,1,0
2,109,4,1.8,3,0,0,0,0,0,0
16,42,4,2.2,2,126,0,0,0,0,0
22,78,3,1.1,1,0,0,0,0,1,0
41,51,2,1.1,1,0,0,0,0,1,0
2,113,4,2.3,3,0,0,0,0,0,1
30,118,4,5.6,2,0,1,0,0,1,0
10,29,4,1.1,3,0,0,0,0,1,0
19,34,3,0.6,2,0,0,0,0,0,0
34,64,2,1.7,3,236,0,1,0,1,0
39,121,1,2.0,1,0,0,0,0,0,0
12,48,4,0.2,3,0,0,0,0,1,0
15,80,1,5.2,1,0,0,0,0,0,0
28,161,1,2.9,1,0,0,0,0,1,0
23,94,1,0.3,1,0,0,0,0,1,0
41,15,3,0.1,3,0,0,0,0,1,0
23,74,1,1.2,1,0,0,0,0,1,0
36,30,3,1.3,2,0,0,0,0,0,0
23,44,3,1.0,3,198,0,0,0,1,1
18,22,2,0.3,2,0,0,0,0,1,0
32,38,4,1.3,1,166,0,0,0,1,1
0,35,3,0.1,2,0,0,1,0,1,0
17,69,4,2.9,1,0,0,0,0,1,1
18,43,1,0.7,1,136,0,0,0,0,0
7,32,1,0.6,3,166,0,0,0,1,0
17,49,1,2.8,1,0,0,0,0,1,0
14,9,3,1.0,2,0,0,0,0,0,0
38,45,4,1.3,2,0,0,0,0,1,0
15,82,3,1.0,1,309,0,0,0,0,0
34,92,2,2.8,1,103,0,0,0,0,0
14,39,3,0.5,3,0,0,0,0,1,0
40,81,3,1.8,2,0,0,0,0,1,0
29,35,1,1.5,2,0,0,0,0,1,0
33,61,2,2.3,3,193,0,0,0,1,0
16,73,3,3.0,1,0,0,0,0,1,0
7,112,1,4.6,1,366,0,0,0,0,0
29,12,2,0.2,3,0,0,0,0,1,0
26,38,3,0.9,3,0,0,0,0,1,0
32,73,2,0.7,2,0,0,0,0,1,1
13,84,1,3.6,2,0,0,1,0,0,0
15,78,4,2.4,1,118,0,0,0,1,0
35,80,3,0.5,1,0,0,0,0,1,0
5,115,2,1.3,1,101,0,0,0,1,1
8,82,1,2.7,2,251,0,0,0,1,0
14,74,2,0.0,1,0,0,1,0,1,0
16,70,3,0.5,3,0,0,0,0,0,1
4,81,3,1.5,1,276,0,0,0,1,0
34,149,4,7.2,2,0,1,0,1,1,1
1,51,2,1.75,3,0,0,0,0,0,0
4,39,3,1.1,2,0,0,0,0,1,0
29,98,3,1.8,2,0,0,0,0,0,0
33,45,4,2.1,1,0,0,0,0,1,1
32,49,4,2.5,2,0,0,0,0,1,0
25,128,2,0.4,1,0,0,0,0,0,0
34,42,3,1.5,1,0,0,1,1,0,1
35,18,1,1.2,3,0,0,0,0,1,0
25,31,2,0.4,3,161,0,0,0,1,1
11,58,3,2.0,1,149,0,0,0,1,1
9,48,1,2.1,3,0,0,0,0,0,1
1,54,4,1.6,1,0,0,0,0,1,1
23,70,2,1.5,2,0,0,0,0,0,0
35,124,1,7.4,1,0,0,0,0,0,1
19,84,1,2.67,2,0,0,0,0,1,1
25,83,4,3.6,3,188,0,0,0,1,0
28,163,2,0.4,1,116,0,0,0,1,0
22,42,3,2.2,2,0,0,0,0,0,0
22,118,2,7.5,1,0,0,0,1,1,1
0,132,3,6.5,3,0,1,0,0,0,1
32,24,1,1.3,1,0,0,0,0,1,1
36,22,2,1.0,1,0,0,1,1,1,1
29,58,4,1.3,3,0,0,0,0,0,0
0,60,4,1.6,1,0,0,0,0,1,0
0,15,4,0.4,1,0,0,0,0,0,1
17,83,4,2.67,1,0,0,0,0,1,1
6,79,2,1.5,3,0,0,0,0,1,1
35,41,4,1.7,2,0,0,1,0,1,0
0,134,4,6.5,3,0,1,0,0,0,0
35,80,2,2.8,1,0,0,0,0,1,0
12,52,1,2.0,1,0,0,0,0,0,0
4,70,4,2.6,1,0,0,0,0,1,0
27,92,2,1.1,1,0,0,1,0,0,0
1,43,1,1.5,1,0,0,0,0,1,0
1,21,3,1.0,2,0,0,0,0,0,0
9,23,3,0.9,3,0,0,0,0,1,1
26,13,4,1.0,1,0,0,0,0,1,0
1,112,4,2.1,3,0,0,0,0,0,1
1,138,2,2.0,1,0,0,0,0,1,0
28,11,3,0.4,1,0,0,1,0,0,0
13,171,2,7.8,1,0,0,0,0,1,0
34,42,4,1.5,1,0,0,0,0,1,1
17,168,2,7.9,2,0,1,0,0,1,0
20,85,4,1.1,2,0,0,1,0,1,0
25,44,3,1.0,2,135,0,0,0,1,0
3,65,4,1.8,2,244,0,0,0,0,0
29,24,4,0.2,1,0,0,0,0,1,1
37,11,1,0.1,1,0,0,0,0,1,0
27,38,2,1.0,3,164,0,0,0,1,0
12,10,4,0.7,2,81,0,0,0,0,0
0,135,1,1.5,1,0,0,0,0,1,0
3,148,3,4.1,1,0,1,0,0,1,0
26,63,2,1.5,2,0,0,1,0,1,0
14,115,1,1.0,3,0,0,0,0,1,0
23,45,1,0.3,1,0,0,0,0,1,1
21,159,3,1.9,3,315,1,0,0,1,0
40,169,2,2.1,1,122,0,0,0,1,0
29,112,2,1.4,1,0,0,0,0,1,0
36,93,1,4.3,1,0,0,0,0,1,0
25,29,1,0.3,3,140,0,0,0,0,0
23,85,1,2.67,2,0,0,0,0,1,0
24,21,4,0.6,1,0,0,0,0,1,1
29,144,2,6.8,1,0,0,0,0,1,0
10,13,4,1.0,1,95,0,1,0,1,0
24,165,1,5.0,1,0,0,0,0,0,1
31,9,4,0.7,1,89,0,0,0,1,0
3,59,4,0.0,1,90,0,1,0,1,0
11,158,1,5.1,3,0,1,0,1,1,1
6,29,1,1.9,3,0,0,0,0,1,1
9,20,2,1.4,3,0,0,0,0,1,1
3,68,4,2.0,2,0,0,0,0,1,0
34,65,4,2.2,1,0,0,0,0,1,0
31,61,2,1.9,2,105,0,0,0,0,0
12,91,4,1.4,2,100,0,0,0,0,1
25,31,1,1.0,1,0,0,1,0,1,0
10,71,4,0.1,2,0,0,0,0,0,0
16,73,4,2.67,1,0,0,0,0,1,1
39,172,4,3.1,1,282,1,0,1,1,1
26,20,2,0.0,1,0,0,0,0,0,0
18,55,1,0.2,1,0,0,0,0,0,0
22,69,2,1.7,1,209,0,0,0,0,0
33,155,1,7.4,1,0,0,0,0,1,0
28,94,1,1.9,2,0,0,0,0,0,0
14,92,2,0.0,1,249,0,0,0,1,1
3,125,2,0.6,1,0,0,0,0,0,0
14,74,3,3.0,1,0,0,0,0,0,0
20,72,3,0.3,3,0,0,0,0,1,0
30,61,1,2.2,3,0,0,0,0,1,1
6,25,2,0.3,1,0,0,0,0,0,1
19,83,2,1.7,2,0,0,0,0,1,0
2,104,3,2.5,1,0,0,0,0,0,0
25,41,3,1.0,3,0,0,0,0,1,0
